Wind Power Multiplier (MW),Installed Solar (MW),Installed Battery (MW),Renewable Energy (%),Cost ($/MWh)
4.482,85000,1,0.979969107,52.03123963
4.48225,85000,0,0.979970255,52.0314498
4.48225,85000,1,0.979970255,52.0314525
4.48225,85000,0,0.979970255,52.0314498
4.48225,85000,1,0.979970255,52.0314525
4.4825,85000,0,0.979971403,52.03166267
4.4825,85000,1,0.979971403,52.03166537
4.4825,85000,0,0.979971403,52.03166267
4.4825,85000,1,0.979971403,52.03166537
4.48275,85000,0,0.979972551,52.03187554
4.48275,85000,1,0.979972551,52.03187824
4.48275,85000,0,0.979972551,52.03187554
4.48275,85000,1,0.979972551,52.03187824
4.483,85000,0,0.979973699,52.03208841
4.483,85000,1,0.979973699,52.03209111
4.483,85000,0,0.979973699,52.03208841
4.483,85000,1,0.979973699,52.03209111
4.48325,85000,0,0.979974847,52.03230128
4.48325,85000,1,0.979974847,52.03230398
4.48325,85000,0,0.979974847,52.03230128
4.48325,85000,1,0.979974847,52.03230398
4.4835,85000,0,0.979975995,52.03251415
4.4835,85000,1,0.979975995,52.03251685
4.4835,85000,0,0.979975995,52.03251415
4.4835,85000,1,0.979975995,52.03251685
4.48375,85000,0,0.979977144,52.03272702
4.48375,85000,1,0.979977144,52.03272972
4.48375,85000,0,0.979977144,52.03272702
4.48375,85000,1,0.979977144,52.03272972
4.484,85000,0,0.979978292,52.03293989
4.484,85000,1,0.979978292,52.03294259
4.484,85000,0,0.979978292,52.03293989
4.484,85000,1,0.979978292,52.03294259
4.48425,85000,0,0.97997944,52.03315276
4.48425,85000,1,0.97997944,52.03315546
4.48425,85000,0,0.97997944,52.03315276
4.48425,85000,1,0.97997944,52.03315546
4.4845,85000,0,0.979980588,52.03336563
4.4845,85000,1,0.979980588,52.03336833
4.4845,85000,0,0.979980588,52.03336563
4.4845,85000,1,0.979980588,52.03336833
4.48475,85000,0,0.979981736,52.03357851
4.48475,85000,1,0.979981736,52.0335812
4.48475,85000,0,0.979981736,52.03357851
4.48475,85000,1,0.979981736,52.0335812
4.485,85000,0,0.979982884,52.03379138
4.485,85000,1,0.979982884,52.03379407
4.485,85000,0,0.979982884,52.03379138
4.485,85000,1,0.979982884,52.03379407
4.48525,85000,0,0.979984032,52.03400425
4.48525,85000,1,0.979984032,52.03400694
4.48525,85000,0,0.979984032,52.03400425
4.48525,85000,1,0.979984032,52.03400694
4.4855,85000,0,0.97998518,52.03421712
4.4855,85000,1,0.97998518,52.03421981
4.4855,85000,0,0.97998518,52.03421712
4.4855,85000,1,0.97998518,52.03421981
4.48575,85000,0,0.979986328,52.03442999
4.48575,85000,1,0.979986328,52.03443268
4.48575,85000,0,0.979986328,52.03442999
4.48575,85000,1,0.979986328,52.03443268
4.486,85000,0,0.979987476,52.03464286
4.486,85000,1,0.979987476,52.03464555
4.486,85000,0,0.979987476,52.03464286
4.486,85000,1,0.979987476,52.03464555
4.48625,85000,0,0.979988624,52.03485573
4.48625,85000,1,0.979988624,52.03485842
4.48625,85000,0,0.979988624,52.03485573
4.48625,85000,1,0.979988624,52.03485842
4.4865,85000,0,0.979989772,52.0350686
4.4865,85000,1,0.979989772,52.03507129
4.4865,85000,0,0.979989772,52.0350686
4.4865,85000,1,0.979989772,52.03507129
4.48675,85000,0,0.97999092,52.03528152
4.48675,85000,1,0.97999092,52.03528421
4.48675,85000,0,0.97999092,52.03528152
4.48675,85000,1,0.97999092,52.03528421
4.487,85000,0,0.979992068,52.03549444
4.487,85000,1,0.979992068,52.03549714
4.487,85000,0,0.979992068,52.03549444
4.487,85000,1,0.979992068,52.03549714
4.48725,85000,0,0.979993216,52.03570737
4.48725,85000,1,0.979993216,52.03571006
4.48725,85000,0,0.979993216,52.03570737
4.48725,85000,1,0.979993216,52.03571006
4.4875,85000,0,0.979994364,52.03592029
4.4875,85000,1,0.979994364,52.03592299
4.4875,85000,0,0.979994364,52.03592029
4.4875,85000,1,0.979994364,52.03592299
4.48775,85000,0,0.979995512,52.03613322
4.48775,85000,1,0.979995512,52.03613591
4.48775,85000,0,0.979995512,52.03613322
4.48775,85000,1,0.979995512,52.03613591
4.488,85000,0,0.97999666,52.03634614
4.488,85000,1,0.97999666,52.03634884
4.488,85000,0,0.97999666,52.03634614
4.488,85000,1,0.97999666,52.03634884
4.48825,85000,0,0.979997808,52.03655907
4.48825,85000,1,0.979997808,52.03656176
4.48825,85000,0,0.979997808,52.03655907
4.48825,85000,1,0.979997808,52.03656176
4.4885,85000,0,0.979998956,52.03677199
4.4885,85000,1,0.979998956,52.03677469
4.4885,85000,0,0.979998956,52.03677199
4.4885,85000,1,0.979998956,52.03677469
4.48875,85000,0,0.980000104,52.03698492
4.48875,85000,0,0.980000104,52.03698492
4.48875,85000,1,0.980000104,52.03698761
4.48875,85000,1,0.980000104,52.03698761
4.489,85000,0,0.980001252,52.03719784
4.489,85000,0,0.980001252,52.03719784
4.489,85000,1,0.980001252,52.03720054
4.489,85000,1,0.980001252,52.03720054
4.48925,85000,0,0.9800024,52.03741077
4.48925,85000,0,0.9800024,52.03741077
4.48925,85000,1,0.9800024,52.03741346
4.48925,85000,1,0.9800024,52.03741346
4.4895,85000,0,0.980003548,52.03762369
4.4895,85000,0,0.980003548,52.03762369
4.4895,85000,1,0.980003548,52.03762639
4.4895,85000,1,0.980003548,52.03762639
